Beer,Brewery,State,Region,Style_RAW,Style_12,Style_05,Size,ABV,IBU
Pure Fury,Rhinegeist Brewery,OH,Midwest,American Pale Ale APA,Pale Ale,Ale,12,5.5,42
Self Starter,Warped Wing Brewing Company,OH,Midwest,American IPA,IPA,Strong Ale,16,5.2,67
Rhode Island Blueberry,Coastal Extreme Brewing Company,RI,Northeast,Klsch,German Ale,Ale,12,4.6,11
Newport Storm IPA,Coastal Extreme Brewing Company,RI,Northeast,American IPA,IPA,Strong Ale,12,6.5,75
Peach Pale Ale,Lone Tree Brewing Company,CO,West,American Pale Ale APA,Pale Ale,Ale,12,5.7,40
White Reaper,Evil Czech Brewery,IN,Midwest,Belgian IPA,IPA,Strong Ale,16,7.0,61
Suncaster Summer Wheat,Four String Brewing Company,OH,Midwest,American Pale Wheat Ale,Pale Ale,Ale,12,5.0,28
Clean Shave IPA,Glabrous Brewing Company,ME,Northeast,American IPA,IPA,Strong Ale,12,6.7,70
Brass Knuckle Pale Ale,Four String Brewing Company,OH,Midwest,American Pale Ale APA,Pale Ale,Ale,12,5.7,36
Big Star White IPA,Four String Brewing Company,OH,Midwest,American White IPA,IPA,Strong Ale,12,7.0,70
Firestarter India Pale Ale,Bonfire Brewing Company,CO,West,American IPA,IPA,Strong Ale,12,6.6,72
4000 Footer IPA,Woodstock Inn Station  Brewery,NH,Northeast,American IPA,IPA,Strong Ale,12,6.5,82
Consilium,Renegade Brewing Company,CO,West,American Pale Ale APA,Pale Ale,Ale,12,5.0,40
Cali Creamin,Mother Earth Brew Company,CA,West,Cream Ale,Pale Ale,Ale,12,5.2,21
Deception,Black Market Brewing Company,CA,West,American Blonde Ale,Pale Ale,Ale,12,4.5,16
Harness the Winter,Bent Paddle Brewing Company,MN,Midwest,American IPA,IPA,Strong Ale,12,7.2,87
Rule G IPA,Smartmouth Brewing Company,VA,South,American IPA,IPA,Strong Ale,12,7.0,88
Hop in the Pool Helles,Base Camp Brewing Co,OR,West,American Pilsner,Pale Ale,Ale,12,4.9,22
PTown Pilsner,Alameda Brewing,OR,West,American Pilsner,Pale Ale,Ale,12,4.0,20
Klickitat Pale Ale,Alameda Brewing,OR,West,American Pale Ale APA,Pale Ale,Ale,12,5.3,36
Nonstop Hef Hop,Hopworks Urban Brewery,OR,West,American Pale Wheat Ale,Pale Ale,Ale,16,3.9,20
Pine Belt Pale Ale,Southern Star Brewing Company,TX,South,American Pale Ale APA,Pale Ale,Ale,12,6.5,45
Third Eye Enlightened Pale Ale,Steamworks Brewing Company,CO,West,American Pale Ale APA,Pale Ale,Ale,12,6.5,65
Laka Laka Pineapple,Horny Goat Brew Pub,WI,Midwest,Hefeweizen,German Ale,Ale,12,5.1,17
IPA 11,Cheboygan Brewing Company,MI,Midwest,American IPA,IPA,Strong Ale,16,5.7,58
Main St Virginia Ale,Center of the Universe Brewing C,VA,South,Altbier,German Ale,Ale,12,5.0,40
Mr Blue Sky,Griffin Claw Brewing Company,MI,Midwest,American Pale Wheat Ale,Pale Ale,Ale,16,4.5,6
Weisse Versa 2012,Karbach Brewing Company,TX,South,Hefeweizen,German Ale,Ale,12,5.2,16
The Green Room,Uncle Billys Brewery and Smokeh,TX,South,American IPA,IPA,Strong Ale,16,6.0,75
2014 IPA Cicada Series,Southern Prohibition Brewing Com,MS,Midwest,American IPA,IPA,Strong Ale,16,7.5,72
Morning Wood Wheat Current,Pug Ryans Brewery,CO,West,American Pale Wheat Ale,Pale Ale,Ale,12,5.9,14
Old Soul,Crazy Mountain Brewing Company,CO,West,Belgian Strong Pale Ale,Belgian,Ale,12,7.5,25
Extra Pale Ale,Summit Brewing Company,MN,Midwest,American Pale Ale APA,Pale Ale,Ale,12,5.3,49
Hunny Do Wheat,Third Street Brewhouse,MN,Midwest,American Pale Wheat Ale,Pale Ale,Ale,12,4.8,18
Sinister Minister Black IPA,Southern Prohibition Brewing Com,MS,Midwest,American IPA,IPA,Strong Ale,16,7.7,65
Little Red Cap,Grimm Brothers Brewhouse,CO,West,Altbier,German Ale,Ale,12,6.3,43
Perpetual Darkness,Odyssey Beerwerks,CO,West,Belgian Strong Dark Ale,Belgian,Ale,12,9.2,72
Watershed IPA,Oakshire Brewing,OR,West,American IPA,IPA,Strong Ale,12,6.7,70
Peacemaker Pale Ale,Lonerider Brewing Company,NC,South,American Pale Ale APA,Pale Ale,Ale,12,5.7,47
Shotgun Betty,Lonerider Brewing Company,NC,South,Hefeweizen,German Ale,Ale,12,5.8,11
Ultra Gnar Gnar IPA,Base Camp Brewing Co,OR,West,American IPA,IPA,Strong Ale,12,6.7,60
Knotty Blonde Ale,Three Creeks Brewing,OR,West,American Blonde Ale,Pale Ale,Ale,12,4.0,18
Hoodoo Voodoo IPA,Three Creeks Brewing,OR,West,American IPA,IPA,Strong Ale,12,6.2,82
Hopportunity Knocks IPA,Caldera Brewing Company,OR,West,American IPA,IPA,Strong Ale,12,6.8,100
Wild Trail Pale Ale,Greenbrier Valley Brewing Company,WV,South,American Pale Ale APA,Pale Ale,Ale,12,5.7,44
Camelback,Phoenix Ale Brewery,AZ,West,American IPA,IPA,Strong Ale,12,6.1,60
PUNKN,Uinta Brewing Company,UT,West,Pumpkin Ale,Ale - Other,Ale,12,5.0,10
Sunbru Klsch,Four Peaks Brewing Company,AZ,West,Klsch,German Ale,Ale,12,5.2,17
Summer Brew,Woodstock Inn Station  Brewery,NH,Northeast,American Pilsner,Pale Ale,Ale,12,2.8,15
Homefront IPA,Sly Fox Brewing Company,PA,Northeast,American IPA,IPA,Strong Ale,12,6.0,70
Beer Agent ReIgnition,Great Crescent Brewery,IN,Midwest,American Blonde Ale,Pale Ale,Ale,16,5.3,22
